m11,m12,m13,m14,m15,m16,m21,m22,m23,m24,m25,m26,m31,m32,m33,m41,m42,m43,m51,m61,m62
0,-56.154,0,-68.026,23.205,0,0,-56.154,0,68.026,-23.205,0,0,30,46.154,-0,-30,-46.154,10.256,0,0
0,-53.846,0,-64.974,22.295,0,0,-53.846,0,64.974,-22.295,0,0,30,43.846,-0,-30,-43.846,9.7436,0,0
0,-51.538,0,-61.923,21.385,0,0,-51.538,0,61.923,-21.385,0,0,30,41.538,-0,-30,-41.538,9.2308,0,0
0,-49.231,0,-58.872,20.474,0,0,-49.231,0,58.872,-20.474,0,0,30,39.231,-0,-30,-39.231,8.7179,0,0
0,-46.923,0,-55.821,19.564,0,0,-46.923,0,55.821,-19.564,0,0,30,36.923,-0,-30,-36.923,8.2051,0,0
0,-44.615,0,-52.769,18.654,0,0,-44.615,0,52.769,-18.654,0,0,30,34.615,-0,-30,-34.615,7.6923,0,0
0,-42.308,0,-49.718,17.744,0,0,-42.308,0,49.718,-17.744,0,0,30,32.308,-0,-30,-32.308,7.1795,0,0
0,-40,0,-46.667,16.833,0,0,-40,0,46.667,-16.833,0,0,30,30,-0,-30,-30,6.6667,0,0
0,-37.692,0,-43.615,15.923,0,0,-37.692,0,43.615,-15.923,0,0,30,27.692,-0,-30,-27.692,6.1538,0,0
0,-35.385,0,-40.564,15.013,0,0,-35.385,0,40.564,-15.013,0,0,30,25.385,-0,-30,-25.385,5.641,0,0
0,-33.077,0,-37.513,14.103,0,0,-33.077,0,37.513,-14.103,0,0,30,23.077,-0,-30,-23.077,5.1282,0,0
0,-30.769,0,-34.462,13.192,0,0,-30.769,0,34.462,-13.192,0,0,30,20.769,-0,-30,-20.769,4.6154,0,0
0,-28.462,0,-31.41,12.282,0,0,-28.462,0,31.41,-12.282,0,0,30,18.462,-0,-30,-18.462,4.1026,0,0
0,-26.154,0,-28.359,11.372,0,0,-26.154,0,28.359,-11.372,0,0,30,16.154,-0,-30,-16.154,3.5897,0,0
0,-23.846,0,-25.308,10.462,0,0,-23.846,0,25.308,-10.462,0,0,30,13.846,-0,-30,-13.846,3.0769,0,0
0,-21.538,0,-22.256,9.5513,0,0,-21.538,0,22.256,-9.5513,0,0,30,11.538,-0,-30,-11.538,2.5641,0,0
0,-19.231,0,-19.205,8.641,0,0,-19.231,0,19.205,-8.641,0,0,30,9.2308,-0,-30,-9.2308,2.0513,0,0
0,-16.923,0,-16.154,7.7308,0,0,-16.923,0,16.154,-7.7308,0,0,30,6.9231,-0,-30,-6.9231,1.5385,0,0
0,-14.615,0,-13.103,6.8205,0,0,-14.615,0,13.103,-6.8205,0,0,30,4.6154,-0,-30,-4.6154,1.0256,0,0
0,-12.308,0,-10.051,5.9103,0,0,-12.308,0,10.051,-5.9103,0,0,30,2.3077,-0,-30,-2.3077,0.51282,0,0
0,-10,0,-7,5,0,0,-10,0,7,-5,0,0,30,3.908e-14,-0,-30,-3.908e-14,1.4211e-14,0,0
0,-7.6923,0,-3.9487,4.0897,0,0,-7.6923,0,3.9487,-4.0897,0,0,30,-2.3077,-0,-30,2.3077,-0.51282,0,0
